,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CMCSA,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTSH,DLTR,DXCM,EA,EBAY,ENPH,EXC,FANG,FAST,FTNT,GILD,GOOG,GOOGL,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MRNA,MSFT,MU,NFLX,NTES,NVDA,NXPI,OKTA,ORLY,PAYX,PCAR,PDD,PEP,PFE,PG,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TCOM,TMUS,TSLA,TXN,VRSK,VRSN,VRTX,WBA,WDAY,XEL
0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,20.0,80.0,30.0,94.0,30.0,84.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,63.0,95.0,0.0,17.0,0.0,0.0,0.0,41.0,67.0,40.0,0.0,0.0,0.0,60.0,95.0,0.0,0.0,73.0,74.0,0.0,16.0,0.0,0.0,0.0,4.0,68.0,0.0,12.0,96.0,67.0,96.0,96.0,0.0,78.0,72.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,67.0,0.0,35.0,0.0,0.0,0.0,73.0,98.0,0.0,0.0,0.0,92.0,0.0,83.0,0.0,0.0,0.0,0.0,81.0,98.0,28.0,0.0,0.0,0.0,77.0
1,0.0,0.0,0.0,0.0,0.0,0.0,77.0,20.0,80.0,30.0,144.0,30.0,75.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,60.0,95.0,0.0,0.0,70.0,171.0,0.0,16.0,0.0,0.0,0.0,4.0,68.0,0.0,0.0,96.0,67.0,188.0,87.0,0.0,78.0,72.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,32.0,192.0,0.0,0.0,92.0,66.0,0.0,83.0,0.0,0.0,0.0,0.0,81.0,98.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,57.0,119.0,80.0,0.0,144.0,30.0,75.0,0.0,0.0,0.0,129.0,0.0,0.0,1.0,58.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,60.0,95.0,0.0,77.0,70.0,164.0,0.0,8.0,0.0,0.0,0.0,4.0,68.0,0.0,0.0,96.0,67.0,188.0,87.0,0.0,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,32.0,192.0,0.0,0.0,23.0,67.0,0.0,83.0,0.0,0.0,0.0,0.0,81.0,98.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,155.0,89.0,80.0,0.0,144.0,0.0,75.0,0.0,0.0,0.0,129.0,0.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,42.0,95.0,0.0,49.0,70.0,164.0,0.0,8.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,96.0,70.0,188.0,87.0,0.0,78.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,95.0,192.0,0.0,0.0,23.0,67.0,0.0,68.0,0.0,0.0,0.0,0.0,81.0,48.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,155.0,182.0,167.0,0.0,144.0,0.0,75.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,42.0,95.0,87.0,0.0,70.0,143.0,0.0,8.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,88.0,70.0,188.0,15.0,0.0,75.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,95.0,192.0,0.0,0.0,26.0,67.0,92.0,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,155.0,182.0,167.0,0.0,144.0,0.0,67.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,129.0,0.0,0.0,0.0,42.0,192.0,43.0,0.0,0.0,143.0,0.0,6.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,81.0,70.0,188.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,95.0,192.0,0.0,0.0,26.0,67.0,92.0,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,125.0,182.0,167.0,0.0,73.0,0.0,67.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,42.0,185.0,14.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,81.0,51.0,229.0,0.0,1.0,76.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,94.0,165.0,0.0,0.0,0.0,0.0,0.0,189.0,192.0,0.0,0.0,26.0,68.0,92.0,39.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,125.0,176.0,167.0,0.0,73.0,0.0,67.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,42.0,185.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,81.0,51.0,229.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,11.0,136.0,0.0,0.0,0.0,0.0,0.0,190.0,192.0,0.0,0.0,26.0,41.0,92.0,39.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,107.0,176.0,93.0,0.0,73.0,0.0,67.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,27.0,183.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,81.0,51.0,229.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,132.0,270.0,0.0,0.0,26.0,43.0,44.0,39.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,107.0,176.0,93.0,0.0,73.0,0.0,67.0,0.0,0.0,0.0,134.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,27.0,183.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,131.0,0.0,0.0,81.0,51.0,229.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,132.0,270.0,0.0,0.0,26.0,43.0,16.0,39.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
